BE0075,R-CORREA TPO R18(2.0)/FGO(D.R)
RE4056,R-PARRILLA IZQ. MEGANE 98
RE4057,R-SILENCIADOR POST R18-1400
RE4060,R-BASE RADIADOR. LOGAN
RE4064,R-PARACHOQ. DEL MG2(<06)
RE4066,R-CERRAD.CAPO MG1/SC2
RE4071,R-COCUYO DEL DER SC
RE4072,R-G/BARRO POST.DEL.IZQ MG2
RE4081,R-AMORT DEL R5
RE4083,R-TAPA ACEITE SYM1/LOG/SAND
RE4086,R-VALVULA P/ACEITE TW2 8V
RE4087,R-CIL.PTA TW2(X2)
RE4088,R-PLATINA PARACH DEL CENT CL2/SYM2
RE4089,R-CONDENSADOR R5/R12 T/DUCELIER
RE4094,R-AMORT TRAS MG1
RE4096,R-STOP IZQ LOGAN(08)(cocuyo rojo)
RE4098,.R-AMORT.TRAS SYMBOL
RE4100,.R-KIT PAL CAMB R5
RE4106,R-E.CAMARA MG1/SYM2/CL2/SC2(1.6)/KG(1.6)
RE4108,R-E.MULT ESC SYM1/LOG/SAND
RE4110,R-STOP IZQ GALA
RE4112,R-G/BARRO DEL.IZQ R19
RE4116,R-GOMA VALV MG/SC2/CL2/SYM2/LG(X16)
RE4121,R-VALVULA TEMP FGO/CL1/R19E(2C)
RE4124,R-BUJE MES.INF.MG2(pequeNo)
RE4125,.R-E.VENT TW C/AIRE (GATE-330 W COMPLETO
RE4127,.R-ESTOPERA CIG TRAS R5/11/16/18-1.4/1.6
RE4132,R-CARBONES ARRANQ MG2
RE4133,.R-CARBONES ARRANQ KG/SCEN 1.6
RE4135,.R-KIT VARILLAJE R18/FGO
RE4141,R-V.ADM.(JG4) R19(1.8)
RE4150,R-V.ESC.(JG4) R19(1.8)
RE4159,R-PINON CIG. TW2 16V
RE4162,R-MANILLA PTA.INT.DER LOGAN
RE4163,R-MANILLA PTA.INT.IZQ LOGAN
RE4164,R-KIT GOMA TRIP. L/R R19/CLIO
RE4170,R-ROL TRAS MG2
RE4174,R-G/VELOC R5
RE4175,R-F.ACEITE R11/19/CLIO/GALA/EXPR (19)
RE4177,R-VALVULA MINIMO MG1/CL2/SYM2/SC2(1.6)/K
RE4186,R-MUNON INF. LAG
RE4198,R-BASE AMORT TRAS TW
RE4202,R-MESA INF.DER MG2
RE4204,R-DEPOSITO LIGA FRENO R11/GAL (0482)
RE4205,R-ESTOPERA LEVA CL/MG/SCE1.6(16V)
RE4207,R-ESTOPERA 25X42X7
RE4210,R-MESA INF.DER CL(93-96)(s/muNoN)
RE4211,.R-AMORT.TRAS CLIO1/SYMB 2000
RE4215,R-PINON LEVA R11/R5(1.1)/R18br/GALA/TW1
RE4218,R-ESTOPERA T/CADENA R18-1600
RE4224,R-TAPA FRAS. AGUA (carros viejos)(blaNca
RE4228,R-E.VENT R18 1.6/FGO/GALA/R11 S/ASPA
RE4235,R-MECANISMO A/V DEL.IZQ R19 MEC
RE4236,R-RADIADOR MG 2
RE4240,R-F.ANTIPOLEN SYM/CL2/LOG/SAND/KG
RE4243,R-F.ANTIPOLEN MG1
RE4245,R-KIT SEL LOG/SAND
RE4246,R-F.ACEITE CL/SYM/R19/TW1/MG/SC/LOG
RE4256,R-ABRAZ B/ESTAB. R19/SCENIC
RE4260,R-AMORT DEL LOG
RE4261,R-CADENA B.ACEITE MG2 (22 pasos)
RE4262,.R-KIT DIST. MG2/CL2/SYB2/SC (TIMKEN)
RE4264,R-F.ACEITE CL/SYM/R19/TW1/MG/SC/LOG
RE4265,R-BUJIAS MG/TW2/SC2/CL2/SYM/R19E/LOG/CL9
RE4269,R-PASADOR TIJERA SUP R12/R18(1.6)
RE4270,R-AMORT DEL SYM1
RE4272,R-PLATINA PARACH DEL IZQ CL(+05)/SYM2
RE4273,R-PLATINA PARACH DEL DER CL(+05)/SYM2
RE4274,R-G/BARRO ANT.DEL.IZQ SC2
RE4275,R-G/BARRO ANT.DEL.DER SC2
RE4276,R-CORREA A/A R18(2.0)/FGO
RE4277,R-PLATINA BAJO FARO IZQ R21 INJ
RE4278,R-G/BARRO POST.DEL.IZQ SC2
RE4279,R-AMORT DEL MG1/SC2
RE4281,R-AMORT DEL MG2
RE4284,R-AMORT TRAS MG1
RE4285,R-E.MULT ADM R18(2.0)/FGO/R21(X4)
RE4288,R-AMORT DEL DER TW2 16V
RE4289,R-GOMA B/ESTAB CENTRAL MG2
RE4291,R-ROL AMORT DEL MG2
RE4295,.R-AMORT.TRAS LOGAN (LIP/GAS)
RE4301,R-G/CLOCHE TW(todos)
RE4302,R-TRIPOIDE IZQ SYM1
RE4307,R-G/CLOCHE LOG/SAND
RE4312,R-G/CAPO LOG/SAND
RE4314,.R-KIT PINON CIG.LEVA R11/GALA
RE4316,.R-INDUCIDO ARRANQ R19-E (VALEO)
RE4317,.R-CORNETA R11(JGO PITO)
RE4325,R-E.B.ACEITE R5/R11/R12/R18
RE434,R-G/POLVO CAJA DIR.R11/TW(mec)
RE4341,R-TRIPOIDE IZQ TW2
RE4343,R-BASE MOT DER SYM/CL2/KG
RE4353,R-CAJA DIREC MG2
RE4355,R-FLOTADOR GAS R11/R19(carb)
RE4357,R-C.BIELA 0.10 R19(1.7/1.8)
RE4359,R-ESPEJO RETROV DER LOG(elect)
RE4365,R-AMORT DEL R18(1.6/1.4)
RE4366,R-AMORT TRAS KG(1.4)
RE4369,R-BISAGRA CAPO IZQ.MEGANE
RE4370,R-BISAGRA CAPO DER.MEGANE
RE4373,R-POLEA TENS. A/A DIR.HID.CLIO
RE4386,R-G/BARRO POST.DEL.IZQ MG1
RE4390,R-CONECTOR BOBINA SYM1/LOG/SAND/KG
RE4396,R-ANILLO 0.25 SYM1/LOG/KG(1.4)/SAND
RE4398,R-AMORT DEL CL1
RE4399,.R-STOP IZQ. GALA (S/CIRC)
RE4415,R-BASE CARB CL1
RE4421,R-MANGUERA FR R21
RE4422,R-E.DESCARBONIZAR R11(veNder por pieza)
RE4425,.R-AMORT DEL LOG
RE4436,R-KIT REP CIL FR R11
RE4442,.R-ARTIC.AXIAL (I-D) R19 16-V.(256MM)
RE4444,R-AMORT DEL SC1
RE4446,R-CADENA B.ACEITE (22 pasos)
RE4448,R-ANILLO 0.25 GALA
RE4449,R-SOPORTE E/VENT R19
RE4452,R-PARRILLA DER. SCENIC 98-
RE4455,R-E.VENT MG/SYM/SC/CL2/LOG/LAG(M/A)
RE4456,R-B.AGUA SYM1/LOG/KG(1.4)/SAND
RE4465,R-G/ACEL. TW
RE4466,R-MANGUERA RAD INF TW1
RE4467,R-MANGUERA RAD SUP TW1
RE4470,R-FRONTAL INT. CLIO 98/2000.
RE4473,R-CIL.PULSAD MALETA R19
RE4475,R-C.BANCO STD TW2
RE4476,R-TAPON B/AGUA PEQ
RE4477,R-EMBLEMA CAPO SYMBOL 2003/CLIO
RE4483,R-FRASCO AGUA TW2 16V
RE4484,R-E.MULT ESC SYM1/LOG/SAND(metal)
RE4485,R-E.MULT ADM SYM1/LOG/SAND(X4)
RE4487,R-TAPA DIST R5/R11/R18(gaNcho)
RE4498,.R-KIT B.FRENO (3/4) R19-ENERGY.
RE4502,R-ANILLO 0.50 R19(1.7)
RE4505,.R-CORREA ALT CLIO  90/95.
RE4506,.R-COPA ARRANQ R5/R12. FEMSA T/NVO.
RE4509,R-ROL CANA DIR R11/R21/R19/FGO
RE4510,R-ESTOPERA LEVA INT R18-2000/21/19-EN
RE4512,R-ARRANQUE MG1/CL2/SYM2/SC2(1.6)
RE4515,.R-CABLE POTENC GALA/R18(2.0)/FGO
RE4516,R-PASADOR PEDAL R12
RE4517,R-PERRITO G/ACEL R5/R12
RE4518,R-GOMA HORQ.EMB. R18-2000/FGO/21
RE4520,R-HORQUILLA 5ta R11/R19/TW/CL/SYM/MG1/SC
RE4521,R-CABLE AVION R18(2.0)/FGO/R11/R19(1.7)
RE4523,R-B.FRENO R11/R18(2.0)/FGO(liNeal)
RE4525,PINON BOMBA ACEITE. SMBOL,MEGANE.(origi)
RE4526,R-FARO DEL.DER SYM1
RE4528,R-PINON LEVA R18(2.0)/FGO(d.r)
RE4529,R-V.ESC.(JG8) TW2 16V
RE4530,R-V.ADM.(JG8) TW2 16-V
RE4532,R-POLEA B.AGUA R18-2000/FGO (ORIG)
RE4535,R-AMORT TRAS MG1
RE4536,R-POLEA TENS. A/A R19E(c/base)
RE4538,.R-B.AGUA R21 CARB DOLZ
RE454,R-B.FRENO R11/R18(2.0)/FGO(eN V)
RE4540,R-B.ACEITE MG1/SYM2/CL2/SC2(1.6)/KG(1.6
RE4541,R-ARTIC.AXIAL. CL(93-96)
RE4542,R-GUIA COLLARIN TWINGO 2001
RE4545,"R-CEPILLO LPB 20"""
RE4548,R-BUJE MES.INF.MG2(graNde)
RE4555,R-CUNAS VALV TW (JGO)
RE456,R-KIT PLATINAS C/VELOC (Z)
RE4560,.R-ALT.TW-16 VALV.
RE4561,R-E.MOT R11/GALA
RE4562,R-B.GAS FGO/R18(2.0)
RE4563,.R-E.ANILLAR R-11
RE4565,R-E.BAJANTE R18(2.0)/FGO/R21
RE4566,R-E.MULT ADM R21(iNy)
RE4567,R-CABLE AVION R21(C/CABLE)
RE4568,R-PIPA SEGURO PUERTA R11/R18
RE4569,R-KIT FALQUILLAS R18-BREK
RE4571,R-CIL FR DER R19/CL1(t/lucas)
RE4574,.R-ANILLO 0.25 R19/CLIO/LAGUNA 1.8.
RE4575,R-AMORT DEL R11/GALA/R19
RE4578,R-POMO PAL CAMB R21
RE4580,R-CIL FR IZQ (muestra)
RE4581,R-CIL FR DER (muestra)
RE4586,R-KIT ESTOP CAJA DIR.HID R18-2000
RE4587,.R-G/CLOCHE R5
RE4588,R-CERRAD.PTA DEL IZQ R11.
RE4589,R-CERRAD.PTA DEL DER R11.
RE4596,R-FLAUTA INYECTORES TW2 8V
RE4597,R-CERRAD.MALETA TRAS INT GALA
RE4598,.R-TENSOR C/TPO MG1/CL2/SYM2/SC2(1.6)/KG
RE460,R-CABLE BUJIAS R11
RE4600,R-CERRAD.PTA DEL DER R21.
RE4602,.R-GOMA TRIP L/C  TW-16-V (C/ROLIN)
RE4604,R-TENSOR C/TPO. R18(2.0)/FGO/R21
RE4609,R-PANTALLA FARO IZQ FGO
RE4612,R-G/FRE. MANO TRAS.DER R18br
RE4615,R-SEGURO PUERTA(KIT 3/PZAS)./R/5
RE4621,.R-PISTONES 0.50 MG1/CL2/SYM2/SC 1.6 C/A
RE4624,R-SENSOR MAP TW/SYM/CL/MG/LOG
RE4625,R-CERRAD.PTA DEL DER R5 (2/P)
RE4628,.R-STOP IZQ-INTERNO. MEGANE.(origiNal)
RE463,R-CABLE BUJIAS R18(2.0)/FGO
RE4635,R-MESA INF.IZQ R18(2.0)/FGO
RE4638,R-COCUYO DEL DER R19E
RE4639,R-E.MOT R19E/CL1
RE4640,R-B.GAS MG2(completa)
RE4641,.R-BUJIAS VALEO.R/11,GALA,19-1700
RE4647,R-FARO DEL.DER KGO(1.4)(mica ambar)
RE4649,R-CABLE BUJIAS R5/R12/R18(1.6)
RE4651,.R-E.CAJA VELOC SINC R18-2000/F
RE4652,R-AMORT DEL MG1/SC2
RE4654,R-DESGASIF R11/R18/R19/R21/FGO (3P)
RE4657,.R-E.CARTER C/AUT R21 INY.
RE4658,R-B.FRENO R11/R18(2.0)/FGO(eN V)
RE4663,R-KIT B.FRENO R12(seNcilla)
RE4668,R-DISCO EMB R18(1.6)
RE4669,R-KIT EMB R21 2.2 C/COLL.INCORP
RE4670,R-PLATO CLO. R5/R11/R18br/R19E/CL1/TW
RE4672,R-CAPO DEL SC2
RE4675,R-E.MOT SYM1/LOG/SAND/KG(1.4)
RE4676,R-ESPEJO RETROV DER CL(93-96)(maNual)
RE4678,R-E.MULT ESC MG1/CL2/SYM2/SC2(1.6)
RE4682,.R-CABLE BUJIAS GALA 1.6
RE4686,R-PISTONES STD R19E/CL1
RE4688,R-TAPA GAS MG1/SC
RE469,R-PISTONES STD R18-1600
RE4693,R-TAZA RUEDA TW2
RE4695,R-VALVULA STOP MG1(aut)
RE4698,R-GUIA COLLARIN R11/R19/CL1/TW1/GALA
RE4703,R-CORREA A/A R19E(hid)
RE4705,R-MANGUERA FR TRAS R5
RE4707,R-ESTOPERA 35X47X7
RE4712,R-MANGUERA FR DEL R5
RE4713,.R-B.FRENO R21
RE4715,R-MANGUERA FR MG1/SC2(1.6)
RE4716,R-MANGUERA FR TRAS R12
RE4720,.R-SENSOR TEMP. CL 90/R19-1800
RE4724,R-C.BANCO 0.20 R19(1.7/1.8)
RE4725,R-CAPSULA STOP R11/R21
RE4726,.R-PALANCA L.P.V.. R/11
RE4728,R-TERMINAL IZQ. LOG/SAND(2 RAYAS)
RE4729,R-VALVULA RETROC R11/GALA
RE4730,R-VALVULA TEMP R18/R30/FGO(1C)
RE4731,R-PARACHOQ. TRAS KG(1.4)
RE4732,R-SUICHE EMERG R19E/CL1
RE4733,.R-VALVULA TEMP. R21/19-E (LUZ/RELOJ)
RE4736,R-VALVULA E/VENT. TW/SIM/CLIO
RE4738,R-VALVULA RAD R21(c/cable)
RE4740,.R-VALVULA RAD. R19/MG/CLIO
RE4741,R-CIL FR SYM(+01)/SC1
RE4743,R-TERMOSTATO MG1/SYM/CL2/SC2(1.6)/LOG/KG
RE4744,R-VALVULA P/ACEITE MG1/SC2(1.6)
RE4747,R-C.BANCO 0.10 R19(1.7/1.8)
RE4748,R-MANGUERA FR TRAS R18(1.6)
RE4749,.R-VALVULA TEMP
RE4755,R-CONMUTADOR SUICHERA R12
RE4767,R-F.AIRE SYM1/LOG/SAND/KG(1.4)
RE4780,R-VALVULA STOP R5/R12/R18/R30/FGO
RE4781,R-C.BIELA STD R18(1.6)
RE4782,R-CAMPANA HOMOC L/C DER LOG
RE4787,R-TAPA CADENA R18-2000/FGO
RE4789,R-MECANISMO A/V DEL.IZQ TW  96 ELECT
RE4790,R-STOP CENTRAL R19E
RE4792,R-POLEA CIG. MG2
RE4793,R-ESPIRAL DEL KG
RE4798,.R-MANGUERA FRE.DEL  R21
RE4800,R-MANILLA PTA.INT.DEL.DER R11/18/21
RE4801,R-MANILLA PTA.INT.DEL.IZQ R11/18/21
RE4803,R-BUJE POLEA CIG R5/R12
RE4804,R-INDUCIDO ARRANQ MG1/SYM2/CL2/SC2(1.6)
RE4805,R-BUJE MES.INF.LOG
RE4806,R-CIL.PULSAD MALETA CL1
RE4807,R-PLATINA PTA.DEL.IZQ SYM/CL 2
RE4821,R-G/FRE. MANO R19
RE4822,R-G/FRE. MANO IZQ R5
RE4823,.R-GOMA TRIP L/C DER LOG
RE4824,R-ELECTRO VALV MIN A/A R11
RE4825,.R-VALVULA TEMP. R11/R18-2/FGO (AGUA)
RE4828,R-VARILLA ACEITE CLIO/R19-E
RE4830,R-FORRO DE ASIENTOS  RENAULT-GRIS
RE4848,R-E.VENT R11 COMPLETO
RE4849,R-E.VENT R11/R5-1300/R18/FGO
RE4856,R-PISTONES STD TW2 8/V C/ANILLOS
RE4857,.R-VALVULA TEMP. CL/TW/MG/SC/LAG/SAND
RE4858,R-KIT EMB LOGAN 1.4
RE4859,R-MODULO ENC. R11/GALA/R21
RE4860,R-ROL DEL LOG(48 PINES)
RE4865,.R-VALVULA TEMP. R19/CLIO 1400 (MARRON)
RE4872,R-B.FRENO TW(todos)
RE4875,R-ARANDELA TAP.CARTER. R11/R19/CL/MG/LOG
RE4879,.R-ANILLO STD LOGAN 1.6 (79.05mm) (K7M)
RE4880,.R-STOP DER. MG1
RE4891,R-AMORT MALETA R19E
RE4895,R-SOCATE C/BOMBILLO VELOC R18-1600
RE4896,R-BASE AMORT DEL R21(iNy)
RE4897,R-BOMBILLO H7
RE4898,R-BASE MOT IZQ R19(siNcroNico)
RE4903,.R-C.BIELA 0.10 R19
RE4906,.R-PISTONES 0.50 MG1/SYM2/CL2/SC2(1.6)/K
RE4909,.R-ALT.R19-ENERGY
RE4910,.R-STOP DER. MEGANE FUME
RE4911,.R-STOP IZQ. MEGANE FUME
RE4913,R-F.AIRE TW1
RE4915,R-F.GAS CL/MGI/MG2/TW/SYM/KG/SC/LOG
RE4917,R-DISCO FRE TRAS MG 2 (C/ROLIN)
RE4919,R-DISCO FRE MG1/SYM/LOG(SOLIDO)
RE4920,R-DISCO FRE DEL MG2/SC
RE4921,R-ESTOPERA 30X42X8
RE4930,R-CORREA MULT MG1/SYM/KG(1.6)/CL2/SC2(1.
RE4948,R-AUT ARRANQ MG1/CL2/SYM2/SC2(1.6)
RE4950,R-E.VENT R11 SOPLADOR C/ASPA A/A.
RE4951,R-G/VELOC CL1
RE4958,"R-CEPILLO LPB 16"""
RE496,.R-AUT.ARRANQ CLIO (T/VALEO)
RE4973,R-PISTONES STD R19(1.7)
RE4978,.R-BUJIAS VALEO.R/5,R/12.
RE4979,R-BUJIAS R18/R21/FUEGO.(BP6EFS)
RE4980,.R-BUJIAS VALEO.R/19-E,TW,SYMB,MEGANE
RE4982,.R-CORREA A/A R21-INJ.(2.2)
RE4985,R-ESPIRAL TRAS LOG
RE4987,R-POMO PAL CAMB R5
RE4988,R-MANILLA PTA.EXT.DER R12 (N)
RE4989,R-MANILLA PTA.EXT.IZQ  R12 (N)
RE4990,R-MICA STOP DER R12br
RE4991,R-MICA STOP IZQ R12br
RE4994,R-PINON LEVA MG1/CL2/SYM2/SC2(1.6)/KG(1.
RE4995,R-TERMINAL IZQ. SYM/MG1/SC2/CL2/TW/KG
RE4999,.R-MOTOR L.P.B R5/12/18/1600-2000
RE5000,R-BOTON SEGURO PLASTICO R18(2.0)/FGO
RE5001,R-ARO SINC R12/R18(1.6)(1ra)
RE5006,R-ESTOPERA SUP.DIST.CORTE FGO.
RE5008,R-ESTOPERA CIG DEL TWINGO
RE5009,"R-CEPILLO LPB 21"""
RE5011,R-G/FANGO. DEL.DER MG2
RE5012,R-G/FANGO. DEL.IZQ MG2
RE5013,"R-CEPILLO LPB 22"""
RE5014,R-PISTONES 0.50 MG1/CL2/SYM2/SC2(1.6)
RE5016,R-BANDAS FRENO LOG
RE5019,R-BIELETA B/EST IZQ. TW2 16V
RE5020,R-PLATO CLO. R19(1.7/1.8)/GALA/LOG
RE5021,R-TRIPOIDE DER LOG
RE5022,R-KIT FALQUILLAS R18-2000(JGO)
RE5023,.R-TRICETA GASES R11/GALA (T)
RE5026,R-ESPARRAGO RDA (pedir muestra)
RE5029,R-AMORT MALETA R11
RE5030,R-ESTOPERA 35X47X7
RE5031,R-ALT MG1/CL2/SYM2/SC2(1.6)
RE5035,R-KIT SERVO FRENO R11/R12/FGO/R30
RE5037,R-POLEA B.AGUA R12 (4/H)
RE5039,R-RADIADOR SYM/CL2/LOG/KG
RE5040,R-CABLE BATERIA R11(+)
RE5041,R-SUJETADOR G/CARB R5-1100 (SOLEX)
RE5045,BASE AMORTIG DEL.  R/19,MEGANE
RE5046,R-ANILLO 0.25 TW1
RE5047,R-G/CAPO R12
RE5048,.R-ANILLO STD TWINGO1 (74mm)
RE5050,R-E.CAMARA TW2 8V
RE5051,R-E.MOT R5(1.1)
RE5052,R-MANGUERA RAD SUP R19E
RE5054,.R-GUIA VALV R18-1600/FGO/R21
RE5055,R-AMORT MALETA SAND
RE5056,R-ESPEJO RETROV IZQ LOG(elect)
RE5057,.R-VACUM DIST. R5/R12/R18 (T/FEMSA)
RE5060,R-TERMINAL DER. R19
RE5061,R-TERMINAL IZQ. R19
RE5062,.R-BASE MOT DER. LAGUNA 1.8/2.0.(hidrau
RE5063,R-MANILLA PTA.INT.IZQ TW (A)
RE5065,R-BUJE TERM.DIR (izq-der)./R/21
RE5066,R-BOBINA ENC MG/SYM2/CL2/SC2(1.6)/KG(1.6
RE5067,R-KIT CARB CL(93-96)
RE5068,R-GUIA VALV (muestra)(X1)
RE5069,R-KIT DIST. TW2 16V
RE5070,.R-E.MOT R19-1.7/1.8 16-V
RE5072,R-VALVULA MINIMO R18(2.0)/FGO
RE5073,R-EJE B/ACEITE R21
RE5074,R-TENSOR C/TPO. SYM1/LOG/SAND/KG(1.4)
RE5075,R-BASE AMORT DEL CL1/TW(graNde)
RE5078,R-CABLE BUJIAS CL1/R19E
RE5080,R-DISCO FRE R5/R12/R18(1.4/1.6)
RE5100,.R-ARO SINC R12/R18(1.6)(2da)
RE5105,R-COPA ARRANQ FGO(broNco)
RE5111,R-VALVULA MINIMO SYM1/LOG/SAND/KG(1.4)
RE5120,R-ESTOPERA RDA TRAS R18/2000/FGO
RE5121,.R-MOZZO DEL. MEGANE 2.0
RE5124,R-BASE CAJA CENTRAL LOG/SAND
RE5129,R-VALVULA STOP TW2 16V
RE5132,R-ESTOPERA 42X54X6
RE5134,R-G/CLOCHE R11/GALA
RE5137,R-E.CAMARA TW2 16V
RE5138,R-E.CAMARA MG2/LAG/SC2(2.0)
RE5141,R-BASE BOMBA AGUA R/11/GALA (ALUMINIO)
RE5142,R-E.MOT TW2 8V
RE5144,R-DISCO FRE TRAS MG2(s/rol)
RE5149,R-TRIPOIDE IZQ R11/GALA
RE5151,R-VOLANTE MOTOR R5
RE5152,R-VOLANTE MOTOR R11/GALA
RE5153,R-AMORT TRAS R5/R11/GALA
RE5163,R-CORREA A/A R19E(mec)
RE5165,R-KIT BUJE BRAZO DIRECC R21
RE5171,R-EVAPORADOR LOGAN 2005 >2006
RE5172,R-EVAPORADOR LOGAN 2007 >2009
RE5178,R-POLEA CIG. R21
RE5180,R-COLLARIN R18(1.6)
RE5189,R-REJILLA INF.DEL.PARACH. MG2(<06)
RE5213,R-GOMA B/ESTAB CENTRAL CL2/SYM/MG1/SC/KG
RE5214,R-PUNTA HOMOC R11/TW/R19(iNt)
RE5216,R-B.FRENO R11/R18(2.0)/FGO(eN V)
RE5217,R-RETEN BANDA FRE R11 (S/GIRLING)
RE5219,R-B.AGUA MG2
RE5224,.R-BUJIAS MG/TW2/SC2/CL2/SYM/R19E/LOG/CL
RE5228,R-SUICHE ENC TW
RE5229,R-MANGUERA RAD SUP R18(2.0)
RE5231,R-SUICHE ENC R19
RE5235,R-F.B.GAS (pila) ELECTRICA
RE5236,R-B.ACEITE R18(2.0)/FGO/R21
RE5237,R-AMORT TRAS TW(todos)
RE5238,R-V.ADM.(JG4) R19-E/CL/SYM/LOG
RE5239,R-DISCO FRE R18(2.0)/FGO/R19E/CL1
RE524,R-STOP DER MG1(exterNo)
RE5240,R-AMORT TRAS R12/R18(todos)
RE5241,R-CIL FR DER R19/CL1(t/lucas)
RE5242,R-CIL FR IZQ R19/CL1(t/lucas)
RE5243,R-BOBINA ENC R11/R21/R19CL1/FGO
RE5244,R-ARTIC.AXIAL. R11/GALA
RE5245,R-AMORT DEL IZQ TW2 16V
RE5246,R-ANILLO STD MG2
RE5247,R-KIT SEL LOG/SAND
RE5248,R-E.TAPA VALV TW2 8V(goma)
RE5249,R-B.AGUA MG1/CL2/SYM2/SC2(1.6)/KG(1.6)
RE5250,R-COPA GRASA METALICA RDA.TRASERA./R/18
RE5254,R-B.GAS ELECT (pila)
RE5263,.R-CORREA ALT TWI-1.2 .99/2000.
RE5265,R-GOMA B/ESTAB PUNTA R19/MG1/SC
RE5267,R-BOCINA TERM.CAJA DIREC./R/30
RE5268,R-ESTOPERA 30X42X8
RE5269,R-BASE MET.CAJA IZQ R21
RE5273,R-MOTOR LPB DEL TW2
RE5274,R-BASE TERMOSTATO. R/21.
RE5275,R-TAPA TERMOST R18(2.0/FGO(iNferior)
RE5287,R-ABRAZ MES TRAS. R12/18/DACIA
RE5288,.R-STOP IZQ. R19-E 2000 (CRISTAL)
RE5299,.R-SUICHE ARRAQ. R18/FGO
RE5300,R-BORNE BRONCE.(-). P/CARRO EUROPEO
RE5301,R-BORNE BRONCE.(+). P/CARRO EUROPEO
RE5318,.R-VALVULA STOP CLIO 19-1400/ENERGI
RE5321,R-G/CLOCHE SYM/CL2/KG
RE5326,R-CABLE BUJIAS SYM1/LOG/SAND/KG
RE5339,R-GUIA COLLARIN CLIO 2001(CORTA)
RE5345,R-FILER PARACHOQUE DEL. CLIO 01.
RE5363,R-GOMA ABRAZAD.CAJA DIR MG1/SYM/CL2/SC2/
RE5367,R-ESPARRAGO RDA (pedir muestra)
RE5374,R-ESPIRAL TRAS CL2/SYM
RE5389,R-TAPA GAS R18/FGO/R21
RE5400,R-DEPOSITO LIGA FRENO R18-1600/2000/FG
RE5401,R-KIT INTALAC B.GAS (FILTRO+CONECT)
RE5411,R-ROL DEL R19/CL98/MG/SC/KG/SYM2/CL2/LOG
RE5412,R-MOZZO DEL R19/CL98/CL2/SYM2/MG1/SC2/LO
RE5413,.R-E.VENT MG/SYM/SC/CL2/LOG/LAG(M/A)
RE5417,R-PUNTA HOMOC MG1/SYM/SC2(1.6)(iNt)(siN
RE5418,R-TENSOR C/TPO. R18(2.0)/FGO/R21
RE5421,R-BASE CAJA CENTRAL MG1/SYM/CL2/SC2/KG(e
RE5423,R-CIL.PTA MALETA R21/CL1
RE5433,R-ROL DEL R19/CL98/MG/SC/KG/SYM2/CL2/LOG
RE5435,R-ESTOPERA 28X42X5
RE5436,R-CADENA.TPO R5(1.1)/R11/R12/TW1/GALA
RE5442,R-SINFIN CAJA DIREC. R5
RE5443,R-ESTOPERA TRIP  R5
RE5445,R-AMORT TRAS SC
RE5446,R-SEL CAMB R18
RE5447,R-SINFIN CAJA DIREC R12
RE5451,R-E.MOT SYM1/LOG/SAND/KG(1.4)
RE5452,R-B.AGUA SYM1/LOG/KG(1.4)/SAND
RE5457,R-ASPA AIRE ACOND R11/GALA (PEQ)
RE546,R-TERMINAL DER. CL(93-96)(largo)
RE5461,R-ANILLO STD R19E/CL1
RE5462,R-E.CARTER MG2/LAG/SC1/SC2(2.0)
RE5463,R-PISTONES STD R18(2.0)/FGO
RE5465,R-ALT MG1/CL2/SYM2/SC2(1.6)
RE5467,R-FARO DEL.IZQ SAND
RE5468,.R-ESPEJO RETROV IZQ CL2/SYM(maNual)
RE5469,R-CONMUTADOR SUICHERA MG1
RE5471,R-BASE ELECTRO-VENTILADOR./R/30
RE5472,R-SENSOR VELOC LOG/SAND/SYM3
RE5478,.R-BUJIAS MG/TW2/SC2/CL2/SYM/R19E/LOG/CL
RE548,R-CABLE AVION TW2/SYM1/KG/LOG/SAND
RE5483,R-REFRIGERANTE RAD.T/RENAULT.
RE5484,R-PALANCA LUCES MG1/SC2/CL2/SYM/LOG
RE5485,R-PISTONES STD TW2 8V
RE5487,R-PARACHOQ. DEL TW2
RE5489,R-G/BARRO DEL.IZQ R21 INY (ALE/FINA)
RE5491,R-CORREA ALT R18(2.0)/FGO
RE5492,.R-GOMA VALV R19-1700-1800
RE5495,R-B.AGUA R11
RE5497,.R-G/CLOCHE CLIO 2
RE5498,R-B.GAS R12/R18br
RE5500,R-TAPA ROTOR DIST. R19 (JGO)
RE5504,R-TORNILLO CAMARA R11/GAL/12/TW/CL (JGO)
RE5505,R-KIT ROLIN.PTE.TRAS R11/R19/MG1
RE5506,R-TORNILLO CAMARA MG1/SYM2/CL2/SC2(1.6)/
RE5510,R-E.MULT ADM SYM1/LOG/SAND
RE5511,R-DEPOSITO LIGA FRENO R/12.C/TAPA
RE5512,R-KIT SEL R11/19/TW/MG/CL/KG/SC/SYM
RE5514,R-FARO DEL.IZQ GALA(doble paNtalla)
RE5519,R-STOP IZQ MG2(-06)(siN maleta)
RE5520,R-KIT GOMA TRIP. L/R B/FINA LOGAN
RE5521,R-TAZA RUEDA RIN 13
RE5533,.R-CORNETA CLIO (JGO)
RE5537,R-TENSOR DINAM. C/UNICA MG2
RE5540,R-E.TAPA VALV R5/R11/R12
RE5542,R-BUJE MES.INF.DER.R18(2.0)/FGO
RE5543,R-KIT DIST. SYM1/KG/LOG/SAND
